school_sector,school_code,school_name,school_grade_range,school_enrollment_SY1819,school_star_score_SY1819,school_star_rating_SY1819,school_capacity_SY1819,school_unfilled_seats_SY1819,school_latitude,school_longitude,school_cluster,school_ward,school_grade_band,school_enrollment_SY1718,school_star_score_SY1718,school_star_rating_SY1718,school_capacity_SY1718,school_unfilled_seats_SY1718,attnd_count_truancy_aged_students_SY1819,attnd_absence_1-5_SY1819,attnd_absence_6-10_SY1819,attnd_absence_11-20_SY1819,attnd_absence_20+_SY1819,attnd_count_truancy_aged_students_SY1718,attnd_absence_1-5_SY1718,attnd_absence_6-10_SY1718,attnd_absence_11-20_SY1718,attnd_absence_20+_SY1718
DCPS,325,Thomas Elementary School,PK3-5th,355.0,32.56,2.0,474.0,119.0,38.90127897,-76.95211091,Cluster 30,Ward 7,Elementary,384.0,19.94,1.0,474.0,90.0,321,76,92,85,57,345.0,96,116,89,34
DCPS,326,Thomson Elementary School,PK3-5th,331.0,61.03,4.0,357.0,26.0,38.90349634,-77.02843003,Cluster 8,Ward 2,Elementary,308.0,43.67,3.0,357.0,49.0,263,163,26,n<10,n<10,248.0,147,30,<10,<10
DCPS,327,Truesdell Education Campus,PK3-8th,609.0,65.31,4.0,775.0,166.0,38.95396869,-77.02507158,Cluster 18,Ward 4,Education Campus/Multi,698.0,56.88,3.0,775.0,77.0,559,270,131,70,26,642.0,273,187,124,30
DCPS,328,Tubman Elementary School,PK3-5th,548.0,37.26,2.0,629.0,81.0,38.92919857,-77.0294433,Cluster 2,Ward 1,Elementary,535.0,63.62,4.0,629.0,94.0,526,264,108,60,22,501.0,264,101,55,20
DCPS,329,Turner Elementary School,PK3-5th,497.0,32.42,2.0,530.0,33.0,38.84763644,-76.98031323,Cluster 38,Ward 8,Elementary,463.0,45.33,3.0,530.0,67.0,440,72,100,153,108,426.0,88,104,144,80
DCPS,330,Tyler Elementary School,PK3-5th,512.0,75.33,4.0,564.0,52.0,38.88108436,-76.99204166,Cluster 26,Ward 6,Elementary,525.0,47.07,3.0,564.0,39.0,403,244,85,11,n<10,414.0,259,69,29,<10
DCPS,331,Van Ness Elementary School,PK3-3rd,270.0,67.39,4.0,347.0,77.0,38.87679645,-76.999244,Cluster 27,Ward 6,Elementary,215.0,,,347.0,132.0,208,125,31,22,n<10,143.0,84,20,13,<10
DCPS,332,Walker-Jones Education Campus,PK3-8th,384.0,27.18,2.0,700.0,316.0,38.90419198,-77.01391569,Cluster 8,Ward 6,Education Campus/Multi,435.0,50.92,3.0,700.0,265.0,379,130,93,91,50,385.0,119,127,81,42
DCPS,474,Washington Metropolitan High School,9th-12th,136.0,12.9,1.0,,,38.92043047,-77.01558101,Cluster 3,Ward 1,High,195.0,24.88,2.0,,,150,n<10,n<10,n<10,130,199.0,<10,<10,<10,181
DCPS,947,CHOICE Academy @ Washington Metropolitan HS,Alternative,1.0,,,,,38.92043047,-77.01558101,Cluster 3,Ward 1,,1.0,,,,,n<10,n<10,n<10,n<10,n<10,68.0,24,19,13,<10
DCPS,333,Watkins Elementary School (Capitol Hill Cluster),1st-5th,444.0,69.95,4.0,460.0,16.0,38.88346701,-76.98999677,Cluster 26,Ward 6,Elementary,428.0,73.94,4.0,460.0,32.0,456,332,57,n<10,n<10,442.0,311,74,<10,0
DCPS,336,West Education Campus,PK3-8th,336.0,67.22,4.0,378.0,42.0,38.95136741,-77.03225306,Cluster 18,Ward 4,Education Campus/Multi,330.0,55.27,3.0,378.0,48.0,291,127,74,28,17,285.0,124,66,41,20
DCPS,335,Wheatley Education Campus,PK3-8th,312.0,30.23,2.0,500.0,188.0,38.90411774,-76.98850077,Cluster 23,Ward 5,Education Campus/Multi,324.0,42.16,3.0,500.0,176.0,288,99,93,53,33,284.0,70,80,98,28
DCPS,338,Whittier Education Campus,PK3-8th,351.0,77.18,4.0,520.0,169.0,38.96585727,-77.0192386,Cluster 17,Ward 4,Education Campus/Multi,325.0,45.39,3.0,520.0,195.0,341,156,91,61,18,307.0,119,88,54,31
DCPS,463,Wilson High School,9th-12th,1796.0,71.99,4.0,1840.0,44.0,38.95015672,-77.0777757,Cluster 11,Ward 3,High,1829.0,74.46,4.0,1840.0,11.0,1803,694,466,333,266,1852.0,596,423,378,389
DCPS,464,"Woodson, H D High School",9th-12th,455.0,18.34,1.0,1000.0,545.0,38.89678662,-76.92232826,Cluster 31,Ward 7,High,488.0,24.54,2.0,1000.0,512.0,514,27,49,107,327,537.0,36,62,111,319
DCPS,861,Youth Services Center,Alternative,31.0,,,0.0,0.0,38.91213959,-76.98858584,Cluster 23,Ward 5,Adult/Alt,52.0,,,0.0,0.0,118,28,15,n<10,n<10,140.0,10,<10,<10,0
